血統登録番号, 馬名,性別,年齢,状態,厩舎,種牡馬,母名,母父名,毛色,収得賞金,本賞金,着度数,馬主,生産者
2012100250,コスモソル,牡,2,抹消,(美)萱野浩二,チチカステナンゴ,マイネサンサン,スペシャルウィーク,黒鹿,0,0, 0- 0- 0- 1,岡田繁幸,コスモヴューファーム
2012100252,コスモレプリカ,牡,2,在厩,(美)小笠倫弘,コンデュイット,マイネレプリーク,アフリート,栗毛,0,0, 0- 0- 0- 1,岡田繁幸,コスモヴューファーム
2012100301,ヤマチョウタンゴ,牡,2,不在,(美)相沢郁,バゴ,エリザベートクロス,アドマイヤベガ,鹿毛,0,585, 0- 1- 2- 1,長谷川彰,シンユウフアーム
2012100302,セイカフォルテシモ,牡,2,不在,(栗)田中章博,フサイチコンコルド,セイカアルテナ,メジロマックイーン,鹿毛,0,50, 0- 0- 0- 3,久米大,シンユウフアーム
2012100336,ミズーリスカイ,牡,2,在厩,(美)田中清隆,イーグルカフェ,コリンナ,マヤノトップガン,鹿毛,0,0, 0- 0- 0- 0,伊藤信之,隆栄牧場
2012100338,レベニュー,牡,2,在厩,(美)田中清隆,ケイムホーム,ネオイグザンプル,ネオユニヴァース,黒鹿,0,130, 0- 0- 1- 1,嶋田賢,隆栄牧場
2012100342,アトランタ,牡,2,在厩,(美)古賀史生,ファスリエフ,ビバサムシング,ムーンバラッド,鹿毛,400,680, 1- 0- 1- 1,桐谷茂,高瀬牧場
2012100389,ロードステルス,牡,2,不在,(美)尾形和幸,パーソナルラッシュ,アズマタイガー,エリシオ,鹿毛,0,0, 0- 0- 0- 3,ロードホースクラブ,大作ステーブル
2012100401,オーロラッシュ,牡,2,在厩,(美)土田稔,パーソナルラッシュ,モエレサンタマリア,ゴールドヘイロー,鹿毛,400,1030, 1- 2- 0- 1,山口敦広,大作ステーブル
2012100410,ワンダーヘルト,牡,2,不在,(美)和田正一,グラスワンダー,キルシュブリューテ,マンハッタンカフェ,栗毛,0,0, 0- 0- 0- 0,古賀和夫,対馬正
2012100426,テス,牡,2,不在,(美)中野栄治,サクラプレジデント,シルクグラフィック,ブライアンズタイム,黒鹿,0,0, 0- 0- 0- 1,桐谷茂,堤牧場
2012100484,レースノワエ,牡,2,不在,(美)大和田成,ファスリエフ,ダンシングナウ,ダンシングブレーヴ,鹿毛,0,70, 0- 0- 0- 3,ローレルレーシング,長浜牧場
2012100488,グローリアポンテ,牡,2,在厩,(栗)笹田和秀,ファスリエフ,ピンクキャンドル,マヤノトップガン,黒鹿,0,0, 0- 0- 0- 1,幅田京子,長浜牧場
2012100497,タガノクレイオス,牡,2,在厩,(栗)加用正,ホワイトマズル,オーベルジュ,エルコンドルパサー,鹿毛,0,70, 0- 0- 0- 1,八木良司,新冠タガノファーム
2012100517,タガノエスプレッソ,牡,2,在厩,(栗)五十嵐忠,ブラックタイド,タガノレヴェントン,キングカメハメハ,鹿毛,400,880, 1- 1- 1- 0,八木良司,新冠タガノファーム
2012100590,ラディカル,牡,2,不在,(栗)大久保龍,ブライアンズタイム,コンプリカーター,"Mr. Prospector",黒鹿,0,0, 0- 0- 0- 1,前田幸治,ノースヒルズ
2012100649,シゲルギシサイ,牡,2,抹消,(美)伊藤圭三,ファルブラヴ,サザンレイスター,サザンヘイロー,鹿毛,0,0, 0- 0- 0- 5,森中蕃,浜口牧場
2012100680,マイネルレハイム,牡,2,在厩,(栗)田所秀孝,マツリダゴッホ,コスモエンドレス,スターオブコジーン,栗毛,0,652, 0- 1- 3- 2,サラブレッドクラブ・ラフィアン,ビッグレッドファーム
2012100682,コスモアルマク,牡,2,不在,(美)武藤善則,ロージズインメイ,コスモキララ,タマモクロス,青鹿,0,355, 0- 1- 0- 2,ビッグレッドファーム,ビッグレッドファーム
2012100683,マイネルプロンプト,牡,2,不在,(美)田島俊明,マツリダゴッホ,コスモクラッベ,マイネルラヴ,黒鹿,0,410, 0- 1- 1- 0,サラブレッドクラブ・ラフィアン,コスモヴューファーム
2012100691,マイネルリード,牡,2,在厩,(美)萱野浩二,コンデュイット,コスモミール,ヘクタープロテクター,鹿毛,400,900, 1- 0- 1- 3,サラブレッドクラブ・ラフィアン,ビッグレッドファーム
2012100710,マイネルカルド,牡,2,在厩,(美)相沢郁,マツリダゴッホ,マイネアルデュール,アドマイヤコジーン,鹿毛,0,70, 0- 0- 0- 3,サラブレッドクラブ・ラフィアン,ビッグレッドファーム
2012100720,コスモデレガンス,牡,2,不在,(美)高橋裕,コンデュイット,マイネコンテッサ,ペンタイア,鹿毛,0,160, 0- 0- 0- 3,ビッグレッドファーム,ビッグレッドファーム
2012100724,マイネルサクセサー,牡,2,不在,(美)畠山重則,ブライアンズタイム,マイネジャーダ,"Jade Robbery",栗毛,1200,2180, 2- 0- 1- 1,サラブレッドクラブ・ラフィアン,ビッグレッドファーム
2012100729,コスモピンパーネル,牡,2,在厩,(美)高橋祥泰,マツリダゴッホ,マイネデセール,マイネルラヴ,鹿毛,0,120, 0- 0- 0- 5,ビッグレッドファーム,ビッグレッドファーム
2012100731,マイネルベルセルク,牡,2,不在,(美)畠山吉宏,ハーツクライ,マイネヌーヴェル,ブライアンズタイム,青鹿,0,0, 0- 0- 0- 0,サラブレッドクラブ・ラフィアン,ビッグレッドファーム
2012100732,マイネルガーデン,牡,2,在厩,(美)和田正一,ソングオブウインド,マイネビクトリア,トウカイテイオー,鹿毛,0,0, 0- 0- 0- 2,サラブレッドクラブ・ラフィアン,ビッグレッドファーム
2012100742,マイネルクレイモア,牡,2,不在,(美)尾関知人,マツリダゴッホ,マンバラ,Linamix,芦毛,0,610, 0- 2- 1- 0,サラブレッドクラブ・ラフィアン,ビッグレッドファーム
2012100764,ゴールドクェスト,牡,2,不在,(美)宗像義忠,マツリダゴッホ,ロンドリーナ,キングヘイロー,鹿毛,0,130, 0- 0- 1- 3,居城要,北勝ファーム
2012100781,トップディーヴォ,牡,2,在厩,(栗)昆貢,キングカメハメハ,セクシーザムライ,"Deputy Minister",鹿毛,0,180, 0- 0- 1- 0,コオロ,細川農場
2012100782,フェスティヴデール,牡,2,抹消,(美)天間昭一,ジャングルポケット,フェスティヴキティ,バブルガムフェロー,鹿毛,0,0, 0- 0- 0- 0,臼井義太郎,細川農場
2012100812,コパノアルディー,牡,2,在厩,(美)尾形充弘,バゴ,エピーメロン,サンデーサイレンス,栗毛,0,0, 0- 0- 0- 1,小林祥晃,松本信行
2012100849,バリキ,牡,2,不在,(栗)鈴木孝志,ハーツクライ,カネスベネフィット,Miswaki,栗毛,0,255, 0- 0- 1- 1,杉澤光雄,ムラカミファーム
2012100875,グランジゲレイロ,牡,2,不在,(栗)昆貢,ローレルゲレイロ,エルトベーレ,"Lion Heart",青鹿,0,0, 0- 0- 0- 0,ローレルレーシング,村田牧場
2012100883,キャノンプレート,牡,2,不在,(栗)昆貢,マンハッタンカフェ,ビッグテンビー,テンビー,黒鹿,0,110, 0- 0- 0- 2,ローレルレーシング,村田牧場
2012100893,キーワールド,セ,2,不在,(美)土田稔,ファルブラヴ,ヒロコカサブランカ,マヤノトップガン,鹿毛,0,0, 0- 0- 0- 0,北前孔一郎,村本牧場
2012100901,アニマルスピリッツ,牡,2,在厩,(栗)木原一良,メイショウサムソン,デイム,ウォーニング,鹿毛,0,0, 0- 0- 0- 0,山内邦一,森永聡
2012100903,トップインパクト,牡,2,在厩,(美)萱野浩二,ディープインパクト,レッドヴィーナス,サクラバクシンオー,鹿毛,0,0, 0- 0- 0- 0,コオロ,森永聡
2012101007,エンパイアルーラー,牡,2,在厩,(栗)長浜博之,エンパイアメーカー,フレンチバージン,フレンチデピュティ,鹿毛,0,0, 0- 0- 0- 0,畑佐博,天羽牧場
2012101043,スニップレイ,牡,2,不在,(美)尾形充弘,スニッツェル,プレギエーラ,サンデーサイレンス,青鹿,0,0, 0- 0- 0- 0,阿部幸暉,荒井ファーム
2012101055,ヒルノマレット,牡,2,不在,(栗)北出成人,キングカメハメハ,ナムラクニヒメ,キンググローリアス,黒鹿,400,930, 1- 0- 0- 2,ヒルノ,いとう牧場
2012101084,トーセンテレマーク,牡,2,在厩,(美)小笠倫弘,トーセンブライト,シャトーノワール,アドマイヤベガ,青鹿,0,0, 0- 0- 0- 1,島川隆哉,エスティファーム
2012101140,バロネット,牡,2,不在,(美)相沢郁,ステイゴールド,フィジーガール,カコイーシーズ,鹿毛,0,0, 0- 0- 0- 1,ヒダカ・ブリーダーズ・ユニオン,沖田牧場
2012101179,タイムトゥシャイン,牡,2,不在,(美)和田正一,ハーツクライ,ファリシーク,"Rainbow Quest",栗毛,0,0, 0- 0- 0- 1,古賀和夫,賀張三浦牧場
2012101201,サウスリバティー,牡,2,在厩,(栗)加用正,サウスヴィグラス,サザンジュエリー,アフリート,栗毛,0,120, 0- 0- 0- 3,南波壽,木村牧場
2012101237,ナイトウォッチ,牡,2,不在,(美)畠山重則,スターリングローズ,ビービーイリューム,スペシャルウィーク,栗毛,0,0, 0- 0- 0- 2,ミルファーム,小西ファーム
2012101246,パブリックフレンド,牡,2,在厩,(美)宗像義忠,マンハッタンカフェ,ケリーズビューティ,ブライアンズタイム,青毛,0,0, 0- 0- 0- 1,西城公雄,坂戸節子
2012101252,レアルイモン,牡,2,不在,(美)松永康利,アグネスデジタル,キャンベルイモン,バブルガムフェロー,栗毛,0,0, 0- 0- 0- 1,井門昭二,坂牧場
2012101397,デスティーノトップ,牡,2,不在,(栗)宮本博,Corinthian,ランフォーイット,"El Prado",鹿毛,0,0, 0- 0- 0- 1,名古屋友豊,下河辺牧場
2012101416,トップゴーオン,牡,2,抹消,(栗)坂口正則,フレンチデピュティ,レッドプライム,スペシャルウィーク,鹿毛,0,0, 0- 0- 0- 3,コオロ,庄野牧場
2012101429,モントレーベイ,牡,2,不在,(美)勢司和浩,クロフネ,ホッテストチケット,ゼンノエルシド,芦毛,0,0, 0- 0- 0- 3,金子真人ホールディングス,白井牧場
2012101441,ショウナンダイナモ,牡,2,不在,(美)古賀史生,フレンチデピュティ,ヨーレン,"Elusive Quality",栗毛,0,0, 0- 0- 0- 1,国本哲秀,白瀬盛雄
2012101470,リンカーンハート,牡,2,在厩,(美)相沢郁,サムライハート,リンカーングリーン,ティンバーカントリー,黒鹿,0,125, 0- 0- 0- 3,芹澤精一,瀬戸牧場
2012101504,ブラックバード,牡,2,在厩,(栗)加用正,ダイワメジャー,ハレクラニ,ブライアンズタイム,鹿毛,400,950, 1- 2- 0- 2,"Him Rock Racing",タバタファーム
2012101621,セイカアヴァンサ,牡,2,在厩,(美)相沢郁,タイムパラドックス,セイカカロブ,"Sadler's Wells",鹿毛,0,0, 0- 0- 0- 2,久米大,千葉飯田牧場
2012101695,シゲルエイサー,牡,2,在厩,(栗)武田博,グラスワンダー,セレスフェアリー,アドマイヤベガ,栗毛,0,0, 0- 0- 0- 2,森中蕃,中前牧場
2012101726,サイクルヒッター,牡,2,在厩,(栗)梅内忍,チャクラ,ドナラーク,スキャン,栗毛,0,0, 0- 0- 0- 8,西村新一郎,日西牧場
2012101762,メルセダリオパレス,牡,2,在厩,(栗)白井寿昭,スペシャルウィーク,メルセダリオ,タニノギムレット,鹿毛,0,0, 0- 0- 0- 0,小林量,長谷川牧場
2012101787,ライドオンウインド,牡,2,不在,(栗)木原一良,アグネスデジタル,サンシャインバレイ,サンデーサイレンス,栗毛,400,775, 1- 1- 0- 2,名古屋友豊,春木昭雄
2012101811,モズミステイク,牡,2,在厩,(栗)南井克巳,ワイルドラッシュ,プレイリースモーク,"Gone West",栗毛,0,0, 0- 0- 0- 0,北側雅司,日高大洋牧場
2012101860,セイカヒカワザカ,牡,2,在厩,(美)小野次郎,スウェプトオーヴァーボード,チャームアップ,シルバーチャーム,芦毛,0,0, 0- 0- 0- 2,久米誠,藤本友則
2012101868,マジックシャトル,牡,2,不在,(栗)清水久詞,タイキシャトル,デイトナイト,"Forest Wildcat",栗毛,400,680, 1- 0- 1- 1,林正道,藤本ファーム
2012101881,グリーングリーン,牡,2,不在,(美)大江原哲,スニッツェル,クリノオンディーヌ,マンハッタンカフェ,鹿毛,0,0, 0- 0- 0- 2,北所直人,宝寄山忠則
2012101895,トミケンシャルゴー,牡,2,不在,(美)和田正一,グラスワンダー,ホウヨウターゲット,ジョリーズヘイロー,鹿毛,0,0, 0- 0- 0- 2,冨樫賢二,豊洋牧場
2012101931,リアン,牡,2,不在,(栗)梅田智之,カネヒキリ,コパノマルコリーニ,マヤノトップガン,栗毛,0,0, 0- 0- 0- 1,桐谷茂,前野牧場
2012101952,ルイヴィルリップ,牡,2,不在,(美)田中剛,ショウナンカンプ,ヤングダリア,リヴリア,鹿毛,0,0, 0- 0- 0- 1,松村真司,増尾牧場
2012101955,ファルブサンダー,牡,2,抹消,(美)武市康男,ファルブラヴ,ヘヴンズカーニバル,サンダーガルチ,栗毛,0,0, 0- 0- 0- 0,松平恭司,松平牧場
2012101965,ファジーシステム,牡,2,在厩,(美)宗像義忠,ステイゴールド,エンジェルダンス,フレンチデピュティ,鹿毛,0,0, 0- 0- 0- 2,薗部博之,メイプルファーム
2012101973,ベルウッドツルギ,牡,2,在厩,(美)武市康男,アドマイヤムーン,ボンビバン,"Red Ransom",鹿毛,0,0, 0- 0- 0- 3,鈴木照雄,メイプルファーム
2012101976,モズドゥーチェ,牡,2,不在,(栗)中尾秀正,マンハッタンカフェ,サイトディーラー,キングカメハメハ,青鹿,0,0, 0- 0- 0- 0,北側雅司,目黒牧場
2012102024,マコトギンスバーグ,牡,2,在厩,(美)尾形充弘,キングカメハメハ,マコトスズラン,サンデーサイレンス,鹿毛,0,0, 0- 0- 0- 2,ディアマント,ヤナガワ牧場
2012102037,クリノサンプー,牡,2,不在,(美)本間忍,ショウナンカンプ,クリノマチルダ,フサイチコンコルド,黒鹿,0,0, 0- 0- 0- 0,栗本博晴,横井哲
2012102047,ダブルサークル,牡,2,不在,(栗)森田直行,アサクサデンエン,ウィズペイシェンス,ネオユニヴァース,栗毛,0,0, 0- 0- 0- 0,林正道,赤石牧場
2012102051,スズカハイヤー,牡,2,不在,(美)伊藤圭三,ハービンジャー,アイシースズカ,サンデーサイレンス,鹿毛,0,0, 0- 0- 0- 2,永井啓弍,稲原牧場
2012102110,ホシノオウジサマ,牡,2,在厩,(栗)谷潔,シニスターミニスター,タニノバーバラ,フォーティナイナー,黒鹿,0,0, 0- 0- 0- 0,菅藤宗一,中田牧場
2012102116,ペイシャオブロー,牡,2,在厩,(美)菅原泰夫,ルールオブロー,ダンスレッスン,ダンスインザダーク,鹿毛,1200,2000, 2- 0- 0- 3,北所直人,二風谷ファーム
2012102158,シャイニーヘイロー,牡,2,不在,(美)尾形充弘,キングヘイロー,コアレスサンデー,ジェニュイン,鹿毛,0,0, 0- 0- 0- 0,小林昌志,雅牧場
2012102180,ペイシャピュア,牡,2,在厩,(美)本間忍,タイキシャトル,ピュアフレグランス,ヘクタープロテクター,栗毛,0,0, 0- 0- 0- 4,北所直人,飯岡牧場
2012102220,ナイスパートナー,牡,2,抹消,(栗)谷潔,カネヒキリ,タイキフローラ,タイキシャトル,栗毛,0,0, 0- 0- 0- 0,菅藤宗一,沖田忠幸
2012102222,クワッドアクセル,牡,2,不在,(美)小西一男,マーベラスサンデー,トピアリー,タバスコキャット,栗毛,0,50, 0- 0- 0- 3,島田久,沖田忠幸
2012102228,オープンマーケット,牡,2,在厩,(美)小西一男,ファルブラヴ,ミラキュラス,フジキセキ,黒鹿,0,0, 0- 0- 0- 2,島田久,沖田忠幸
2012102253,フミノミニスター,牡,2,不在,(栗)本田優,シニスターミニスター,ウィンワーシップ,マイニング,鹿毛,0,0, 0- 0- 0- 0,谷二,金舛幸夫
2012102279,トウケイファルコン,牡,2,不在,(栗)池添兼雄,スペシャルウィーク,サンセットロード,キングカメハメハ,栗毛,400,500, 1- 0- 0- 3,木村信彦,木下牧場
2012102281,マイネルエスパス,牡,2,在厩,(美)菊川正達,マイネルラヴ,タイニープラネット,ネオユニヴァース,青鹿,400,1000, 1- 0- 0- 1,サラブレッドクラブ・ラフィアン,木下牧場
2012102291,ロードグランツ,牡,2,不在,(栗)藤原英昭,ディープインパクト,インディアナギャル,Intikhab,黒鹿,0,280, 0- 1- 0- 0,ロードホースクラブ,ケイアイファーム
2012102292,ロードグロワール,牡,2,在厩,(栗)浅見秀一,キングカメハメハ,エアジュリアード,スペシャルウィーク,鹿毛,0,0, 0- 0- 0- 0,ロードホースクラブ,ケイアイファーム
